"Gyro (deg)X","Gyro (deg)Y","Gyro (deg)Z"
"-1.77","-5.06","-0.18","-0.05","-0.05","-0.92"
"-6.79","3.93","8.01","-0.1","0.02","-0.98"
"7.23","3.03","-0.05","-0.04","-0.02","-0.84"
"-2.99","-0.79","2.89","-0.09","-0.04","-0.99"
"-3.63","4.32","4.15","-0.07","0.01","-0.91"
"6.89","-0.18","-0.42","-0.03","-0.06","-0.94"
"4.69","-0.45","2.61","-0.03","-0.04","-0.81"
"-11.15","3.11","4.33","-0.14","0","-1.14"
"13.79","-2.45","-2.78","-0.02","0.01","-0.85"
"-1.04","-3.85","-7.19","-0.04","-0.04","-0.91"
"-0.78","-2.29","-5.06","-0.06","-0.03","-1.01"
"8.47","-1.11","-9.43","-0.04","-0.04","-0.78"
"-3.02","-2.76","-18.79","-0.09","-0.04","-1.07"
"-5.03","2.85","-18.41","-0.02","-0.04","-0.81"
"-9.04","6.85","-21.45","-0.06","-0.03","-0.95"
"-4.47","5.16","-12.55","-0.02","-0.03","-0.94"
"-9.95","8.94","-6.81","0.02","-0.04","-0.87"
"-14.27","0.97","10.98","-0.03","-0.04","-0.98"
"-11.11","-4.87","18.98","-0.11","0.06","-1.04"
"5.19","-2.03","4.18","-0.07","0.04","-0.88"
"-9.22","-0.37","4.15","-0.11","0.07","-0.98"
"1.44","0.42","-4.43","-0.02","0.05","-0.9"
"-9.72","-1.57","-0.79","0.01","0.05","-0.96"
"-3.74","-4.15","-2.56","-0.02","0.07","-1.04"
"2.14","-1.69","-4.29","-0.02","0.02","-0.85"
"-7.11","9.47","-2.39","-0.1","0.09","-1.19"
"20.34","0.44","-12.71","0.08","-0.04","-0.91"
"-16.42","0.14","-2.21","0.04","-0.02","-0.97"
"-6.93","-0.94","7.71","-0.07","0.01","-0.93"
"-13.98","0.03","15.84","-0.01","0.1","-0.97"
"10.15","1.8","5.7","0","0.02","-0.91"
"-1.6","4.37","15.55","-0.02","0.02","-0.88"
"-6.27","2.24","29.56","-0.09","0.02","-1.11"
